,product_name,link, product_images,price,details,color,brand
205,OVERSIZE T-SHIRT WITH SLOGANS,https://www.zara.com/in/en/oversize-t-shirt-with-slogans-p00722374.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/374/250/2/w/448/0722374250_6_1_1.jpg?ts=1689927794171': 'Image 0 of OVERSIZE T-SHIRT WITH SLOGANS from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/374/250/2/w/448/0722374250_6_2_1.jpg?ts=1689927793949': 'Image 1 of OVERSIZE T-SHIRT WITH SLOGANS from Zara'}]",2290,Oversize round neck T-shirt with sleeves falling below the elbow and contrast prints on the front and back.,white,nike
207,T-SHIRT WITH METALLIC FINISH,https://www.zara.com/in/en/t-shirt-with-metallic-finish-p05644303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5644/303/707/2/w/448/5644303707_1_1_1.jpg?ts=1690540907939': 'Image 0 of T-SHIRT WITH METALLIC FINISH from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5644/303/707/2/w/448/5644303707_2_1_1.jpg?ts=1690540907963': 'Image 1 of T-SHIRT WITH METALLIC FINISH from Zara'}]",2290,Round neck T-shirt with short sleeves and an ombré coloured finish.,white,adidas
208,TIE-DYE DENIM HOODIE,https://www.zara.com/in/en/tie-dye-denim-hoodie-p00840300.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0840/300/251/2/w/448/0840300251_1_1_1.jpg?ts=1689335818566': 'Image 0 of TIE-DYE DENIM HOODIE from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0840/300/251/2/w/0/0840300251_2_1_1.jpg?ts=1689335819079': 'Image 1 of TIE-DYE DENIM HOODIE from Zara'}]",3290,Denim sweatshirt. Round neck and short sleeves. Ribbed trims.,white,zara
210,TULLE T-SHIRT WITH ABSTRACT PRINT,https://www.zara.com/in/en/tulle-t-shirt-with-abstract-print-p03665301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3665/301/022/2/w/448/3665301022_1_1_1.jpg?ts=1692359828074': 'Image 0 of TULLE T-SHIRT WITH ABSTRACT PRINT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3665/301/022/2/w/448/3665301022_2_1_1.jpg?ts=1692359829670': 'Image 1 of TULLE T-SHIRT WITH ABSTRACT PRINT from Zara'}]",2290,T-shirt made of semi-sheer fabric. Round neck and long sleeves.,black,nike
212,SWEATSHIRT WITH CROCHET POCKET,https://www.zara.com/in/en/sweatshirt-with-crochet-pocket-p04087317.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4087/317/505/2/w/448/4087317505_1_1_1.jpg?ts=1688546807650': 'Image 0 of SWEATSHIRT WITH CROCHET POCKET from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4087/317/505/2/w/448/4087317505_2_1_1.jpg?ts=1688546808901': 'Image 1 of SWEATSHIRT WITH CROCHET POCKET from Zara'}]",2990,Loose-fitting sweatshirt with a round neck and short sleeves. Front patch pocket in matching crochet.,yellow,adidas
214,TIE-DYE PRINT SWEATSHIRT,https://www.zara.com/in/en/tie-dye-print-sweatshirt-p00962338.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0962/338/505/2/w/448/0962338505_1_1_1.jpg?ts=1692020567476': 'Image 0 of TIE-DYE PRINT SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0962/338/505/2/w/448/0962338505_2_1_1.jpg?ts=1692020568352': 'Image 1 of TIE-DYE PRINT SWEATSHIRT from Zara'}]",3290,Round neck sweatshirt with short sleeves and irregular trims.,green,zara
216,MESH TEXTURED TANK TOP,https://www.zara.com/in/en/mesh-textured-tank-top-p03665307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3665/307/800/2/w/448/3665307800_1_1_1.jpg?ts=1691746948704': 'Image 0 of MESH TEXTURED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3665/307/800/2/w/448/3665307800_2_1_1.jpg?ts=1691746949585': 'Image 1 of MESH TEXTURED TANK TOP from Zara'}]",2590,Open-textured tank top. Round neckline. Contrast embroidered slogan on the front.,black,puma
217,CROPPED TANK TOP,https://www.zara.com/in/en/cropped-tank-top-p06224394.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/394/800/2/w/448/6224394800_1_1_1.jpg?ts=1692183115085': 'Image 0 of CROPPED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/394/800/2/w/448/6224394800_2_1_1.jpg?ts=1692183115030': 'Image 1 of CROPPED TANK TOP from Zara'}]",1990,Oversize round neck tank top. Faded effect. Contrast prints on the front and back. Cropped length.,black,nike
218,FADED TANK TOP,https://www.zara.com/in/en/faded-tank-top-p00679305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0679/305/648/2/w/448/0679305648_1_1_1.jpg?ts=1692179833873': 'Image 0 of FADED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0679/305/648/2/w/448/0679305648_2_1_1.jpg?ts=1692179833765': 'Image 1 of FADED TANK TOP from Zara'}]",1990,Sleeveless T-shirt with round neckline. Faded effect.,grey,adidas
219,TANK TOP WITH CONTRAST PRINT,https://www.zara.com/in/en/tank-top-with-contrast-print-p05643301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5643/301/250/2/w/448/5643301250_1_1_1.jpg?ts=1691753699857': 'Image 0 of TANK TOP WITH CONTRAST PRINT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5643/301/250/2/w/448/5643301250_2_1_1.jpg?ts=1691753699919': 'Image 1 of TANK TOP WITH CONTRAST PRINT from Zara'}]",1990,Sleeveless top with a round neckline. Contrast prints and embroidery on the front.,white,zara
221,TANK TOP,https://www.zara.com/in/en/tank-top-p04231307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4231/307/526/2/w/448/4231307526_1_1_1.jpg?ts=1688564089840': 'Image 0 of TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4231/307/526/2/w/448/4231307526_2_1_1.jpg?ts=1688564089869': 'Image 1 of TANK TOP from Zara'}]",1990,Loose-fitting sleeveless T-shirt with a round neckline.,grey,puma
255,TRAINING TANK TOP,https://www.zara.com/in/en/training-tank-top-p00765305.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0765/305/426/612/w/448/0765305426_1_1_1.jpg?ts=1692608988130': 'Image 0 of TRAINING TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0765/305/426/612/w/448/0765305426_2_1_1.jpg?ts=1692608987575': 'Image 1 of TRAINING TANK TOP from Zara'}]",1990,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Sleeveless with a round neck.- Printed logo detail.Zara Athleticz.View more,blue,adidas
258,TEXTURED COMPRESSION T-SHIRT,https://www.zara.com/in/en/textured-compression-t-shirt-p01368410.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1368/410/400/2/w/448/1368410400_1_1_1.jpg?ts=1684491174924': 'Image 0 of TEXTURED COMPRESSION T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1368/410/400/2/w/448/1368410400_2_1_1.jpg?ts=1684491175635': 'Image 1 of TEXTURED COMPRESSION T-SHIRT from Zara'}]",2990,"T-shirt made of technical fabric with high elasticity, adapting perfectly to movement. - Sleeveless with a round neck.- Combination of textures for improved breathability and wicking.Zara Athleticz.View more",blue,zara
260,TRAINING TANK TOP,https://www.zara.com/in/en/training-tank-top-p00765400.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/0765/400/250/2/w/448/0765400250_1_1_1.jpg?ts=1689863398783': 'Image 0 of TRAINING TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/0765/400/250/2/w/448/0765400250_2_1_1.jpg?ts=1689863394084': 'Image 1 of TRAINING TANK TOP from Zara'}]",2290,"T-shirt made of lightweight textured stretch fabric that moves in every direction.- Sleeveless and with a round neckline. Its seams are flat, to avoid skin abrasions.- Printed logo detail.Zara Athleticz.View more",white,puma
266,CONTRAST PRINTED T-SHIRT,https://www.zara.com/in/en/contrast-printed-t-shirt-p01165305.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1165/305/800/2/w/448/1165305800_1_1_1.jpg?ts=1690535016949': 'Image 0 of CONTRAST PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1165/305/800/2/w/448/1165305800_2_1_1.jpg?ts=1690535018186': 'Image 1 of CONTRAST PRINTED T-SHIRT from Zara'}]",2290,Oversize round neck T-shirt with short sleeves. Contrast prints on the front and back. Faded effect.,black,nike
267,CONTRAST PRINTED T-SHIRT,https://www.zara.com/in/en/contrast-printed-t-shirt-p00977309.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0977/309/250/2/w/448/0977309250_1_1_1.jpg?ts=1690535015926': 'Image 0 of CONTRAST PRINTED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0977/309/250/2/w/448/0977309250_2_1_1.jpg?ts=1690535016738': 'Image 1 of CONTRAST PRINTED T-SHIRT from Zara'}]",2290,T-shirt with a round neckline and short sleeves. Contrast embroidery prints on the front and back.,white,adidas
269,CONTRAST PRINT SWEATSHIRT,https://www.zara.com/in/en/contrast-print-sweatshirt-p05643302.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5643/302/250/2/w/448/5643302250_1_1_1.jpg?ts=1690963409656': 'Image 0 of CONTRAST PRINT SWEATSHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5643/302/250/2/w/448/5643302250_2_1_1.jpg?ts=1690963410355': 'Image 1 of CONTRAST PRINT SWEATSHIRT from Zara'}]",2990,Boxy fit sweatshirt with a round neck and short sleeves. Contrast prints on the front.,white,zara
271,T-SHIRT WITH PHOTO PRINT,https://www.zara.com/in/en/t-shirt-with-photo-print-p01165307.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1165/307/251/2/w/448/1165307251_1_1_1.jpg?ts=1690986047090': 'Image 0 of T-SHIRT WITH PHOTO PRINT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1165/307/251/2/w/448/1165307251_2_1_1.jpg?ts=1690986046764': 'Image 1 of T-SHIRT WITH PHOTO PRINT from Zara'}]",2290,T-shirt with a round neck and short sleeves. Featuring a contrast photo print on the back.,white,puma
275,TEXTURED T-SHIRT,https://www.zara.com/in/en/textured-t-shirt-p04087333.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4087/333/712/2/w/448/4087333712_1_1_1.jpg?ts=1691141197699': 'Image 0 of TEXTURED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4087/333/712/2/w/448/4087333712_2_1_1.jpg?ts=1691141197683': 'Image 1 of TEXTURED T-SHIRT from Zara'}]",2990,Relaxed fit T-shirt. Round neck and short sleeves.,white,nike
280,V-NECK T-SHIRT,https://www.zara.com/in/en/v-neck-t-shirt-p06462322.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6462/322/712/2/w/448/6462322712_1_1_1.jpg?ts=1689156204414': 'Image 0 of V-NECK T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6462/322/712/2/w/448/6462322712_2_1_1.jpg?ts=1689156204475': 'Image 1 of V-NECK T-SHIRT from Zara'}]",2590,T-shirt with an open neck and short sleeves.,yellow,adidas
282,TEXTURED TANK TOP,https://www.zara.com/in/en/textured-tank-top-p01198319.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1198/319/250/2/w/448/1198319250_1_1_1.jpg?ts=1691571265149': 'Image 0 of TEXTURED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1198/319/250/2/w/448/1198319250_2_1_1.jpg?ts=1691571266083': 'Image 1 of TEXTURED TANK TOP from Zara'}]",2290,Sleeveless T-shirt in mesh textured fabric with a wide round neck.,white,zara
285,RUSTIC TANK TOP,https://www.zara.com/in/en/rustic-tank-top-p03992381.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/381/706/2/w/448/3992381706_1_1_1.jpg?ts=1692627095271': 'Image 0 of RUSTIC TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/381/706/2/w/448/3992381706_2_1_1.jpg?ts=1692627095607': 'Image 1 of RUSTIC TANK TOP from Zara'}]",2290,Double trim tank top with a wide round neck.,white,puma
287,TEXTURED TANK TOP,https://www.zara.com/in/en/textured-tank-top-p04087361.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4087/361/251/2/w/448/4087361251_2_1_1.jpg?ts=1689148216584': 'Image 0 of TEXTURED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4087/361/251/2/w/448/4087361251_2_4_1.jpg?ts=1689148215826': 'Image 1 of TEXTURED TANK TOP from Zara'}]",2290,Oversize sleeveless T-shirt with a round neck and irregular trims.,white,nike
289,TEXTURED TANK TOP,https://www.zara.com/in/en/textured-tank-top-p03992323.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/323/800/2/w/448/3992323800_1_1_1.jpg?ts=1690536390844': 'Image 0 of TEXTURED TANK TOP from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/323/800/2/w/448/3992323800_2_1_1.jpg?ts=1690536389244': 'Image 1 of TEXTURED TANK TOP from Zara'}]",2290,Round neck tank top.,black,adidas
291,COTTON - LINEN T-SHIRT,https://www.zara.com/in/en/cotton---linen-t-shirt-p00347300.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0347/300/700/2/w/448/0347300700_1_1_1.jpg?ts=1688108944359': 'Image 0 of COTTON - LINEN T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0347/300/700/2/w/448/0347300700_2_1_1.jpg?ts=1688108944363': 'Image 1 of COTTON - LINEN T-SHIRT from Zara'}]",1990,Loose-fitting T-shirt made of a linen and cotton blend fabric. Round neckline and short sleeves.,brown,zara
295,BASIC HEAVY WEIGHT T-SHIRT,https://www.zara.com/in/en/basic-heavy-weight-t-shirt-p01887411.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1887/411/250/2/w/448/1887411250_1_1_1.jpg?ts=1691999871977': 'Image 0 of BASIC HEAVY WEIGHT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1887/411/250/2/w/448/1887411250_2_1_1.jpg?ts=1691999871678': 'Image 1 of BASIC HEAVY WEIGHT T-SHIRT from Zara'}]",1590,Loose-fit T-shirt made of compact cotton. Round neck and short sleeves.,yellow,puma
304,HIGH NECK KNIT T-SHIRT,https://www.zara.com/in/en/high-neck-knit-t-shirt-p03471301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3471/301/800/2/w/448/3471301800_1_1_1.jpg?ts=1689256085179': 'Image 0 of HIGH NECK KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3471/301/800/2/w/448/3471301800_2_1_1.jpg?ts=1689256085225': 'Image 1 of HIGH NECK KNIT T-SHIRT from Zara'}]",2590,Knit high neck T-shirt with short sleeves and ribbed trims.,black,nike
309,ACID WASH PRINT T-SHIRT,https://www.zara.com/in/en/acid-wash-print-t-shirt-p04442350.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4442/350/826/2/w/448/4442350826_1_1_1.jpg?ts=1688108946885': 'Image 0 of ACID WASH PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4442/350/826/2/w/448/4442350826_2_1_1.jpg?ts=1688108946636': 'Image 1 of ACID WASH PRINT T-SHIRT from Zara'}]",1990,Loose-fitting faded T-shirt with a round neckline and short sleeves.,grey,adidas
314,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p00495330.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0495/330/707/2/w/448/0495330707_1_1_1.jpg?ts=1691575360499': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0495/330/707/2/w/448/0495330707_2_1_1.jpg?ts=1691575360486': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,T-shirt with a round neckline and short sleeves. Featuring a contrast slogan print on the front.,white,zara
318,SLOGAN PRINT T-SHIRT,https://www.zara.com/in/en/slogan-print-t-shirt-p04087328.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4087/328/800/2/w/448/4087328800_1_1_1.jpg?ts=1691753369222': 'Image 0 of SLOGAN PRINT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4087/328/800/2/w/448/4087328800_2_1_1.jpg?ts=1691753368594': 'Image 1 of SLOGAN PRINT T-SHIRT from Zara'}]",2290,T-shirt with a round neckline and short sleeves. Printed slogan on the front and back.,black,puma
319,T-SHIRT WITH EMBROIDERED SLOGAN,https://www.zara.com/in/en/t-shirt-with-embroidered-slogan-p06224381.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/381/250/2/w/448/6224381250_1_1_1.jpg?ts=1691739359737': 'Image 0 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/381/250/2/w/448/6224381250_2_1_1.jpg?ts=1691739359274': 'Image 1 of T-SHIRT WITH EMBROIDERED SLOGAN from Zara'}]",2290,Loose-fitting round neck T-shirt with short sleeves. Contrast embroidery and prints on the front and back.,white,nike
322,TEXTURED KNIT T-SHIRT,https://www.zara.com/in/en/textured-knit-t-shirt-p02621420.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2621/420/251/2/w/448/2621420251_1_1_1.jpg?ts=1689847577985': 'Image 0 of TEXTURED KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2621/420/251/2/w/448/2621420251_2_1_1.jpg?ts=1689847573333': 'Image 1 of TEXTURED KNIT T-SHIRT from Zara'}]",2890,Knit T-shirt made of spun cotton fabric. Round neck and short sleeves. Ribbed trims.,white,adidas
328,CROPPED T-SHIRT WITH SLOGAN,https://www.zara.com/in/en/cropped-t-shirt-with-slogan-p03992306.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/3992/306/251/2/w/448/3992306251_1_1_1.jpg?ts=1685958487239': 'Image 0 of CROPPED T-SHIRT WITH SLOGAN from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/3992/306/251/2/w/448/3992306251_2_1_1.jpg?ts=1685958487112': 'Image 1 of CROPPED T-SHIRT WITH SLOGAN from Zara'}]",1890,Cropped T-shirt with a round neck and short sleeves. Contrast slogan print on the front.,white,zara
330,CROCHET KNIT T-SHIRT,https://www.zara.com/in/en/crochet-knit-t-shirt-p04938303.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/4938/303/800/2/w/448/4938303800_1_1_1.jpg?ts=1687874713848': 'Image 0 of CROCHET KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/4938/303/800/2/w/448/4938303800_2_1_1.jpg?ts=1687874789044': 'Image 1 of CROCHET KNIT T-SHIRT from Zara'}]",2990,Short sleeve knit T-shirt made of an open-textured fabric. Round neck and ribbed trims.,black,puma
331,LINEN - VISCOSE KNIT T-SHIRT,https://www.zara.com/in/en/linen---viscose-knit-t-shirt-p09598304.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/9598/304/710/2/w/448/9598304710_1_1_1.jpg?ts=1688478953918': 'Image 0 of LINEN - VISCOSE KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/9598/304/710/2/w/448/9598304710_2_1_1.jpg?ts=1688478954279': 'Image 1 of LINEN - VISCOSE KNIT T-SHIRT from Zara'}]",3290,Knit oversize T-shirt made of a spun linen and viscose blend. Round neck and short sleeves. Ribbed trims.,grey,nike
332,LINEN - VISCOSE KNIT T-SHIRT,https://www.zara.com/in/en/linen---viscose-knit-t-shirt-p09598301.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/9598/301/731/2/w/448/9598301731_1_1_1.jpg?ts=1688478953288': 'Image 0 of LINEN - VISCOSE KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/9598/301/731/2/w/448/9598301731_2_1_1.jpg?ts=1688478954493': 'Image 1 of LINEN - VISCOSE KNIT T-SHIRT from Zara'}]",3290,Loose-fitting knit T-shirt made of a spun linen and viscose blend. Round neck and short sleeves. Chest patch pocket. Contrast topstitching detail.,brown,adidas
333,COTTON KNIT T-SHIRT,https://www.zara.com/in/en/cotton-knit-t-shirt-p06771309.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/6771/309/916/2/w/448/6771309916_1_1_1.jpg?ts=1688458557112': 'Image 0 of COTTON KNIT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/6771/309/916/2/w/448/6771309916_2_1_1.jpg?ts=1688458551783': 'Image 1 of COTTON KNIT T-SHIRT from Zara'}]",2990,"Knit T-shirt made of spun cotton fabric. Featuring a round neck, short sleeves and ribbed trims.",green,zara
340,TIE-DYE STRIPED T-SHIRT,https://www.zara.com/in/en/tie-dye-striped-t-shirt-p06224359.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/6224/359/710/2/w/448/6224359710_1_1_1.jpg?ts=1689256347393': 'Image 0 of TIE-DYE STRIPED T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/6224/359/710/2/w/448/6224359710_2_1_1.jpg?ts=1689256346117': 'Image 1 of TIE-DYE STRIPED T-SHIRT from Zara'}]",2290,T-shirt with a round neckline and short sleeves. Featuring a contrast print on the front.,brown,puma
344,SHORT SLEEVE HEAVY WEIGHT T-SHIRT,https://www.zara.com/in/en/short-sleeve-heavy-weight-t-shirt-p00761323.html,"[{'https://static.zara.net/photos///2023/V/0/2/p/0761/323/250/2/w/489/0761323250_6_1_1.jpg?ts=1675790430296': 'Image 0 of SHORT SLEEVE HEAVY WEIGHT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/V/0/2/p/0761/323/250/2/w/489/0761323250_6_2_1.jpg?ts=1675790430674': 'Image 1 of SHORT SLEEVE HEAVY WEIGHT T-SHIRT from Zara'}]",1990,Regular-fit T-shirt in compact cotton fabric. Round neck and short sleeves.Origins special collection.,white,nike
364,MESH TEXTURE T-SHIRT,https://www.zara.com/in/en/mesh-texture-t-shirt-p02795306.html,"[{'https://static.zara.net/photos///2023/I/0/1/p/2795/306/800/2/w/448/2795306800_1_1_1.jpg?ts=1688566357380': 'Image 0 of MESH TEXTURE T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/1/p/2795/306/800/2/w/448/2795306800_2_1_1.jpg?ts=1688566354820': 'Image 1 of MESH TEXTURE T-SHIRT from Zara'}]",2290,Relaxed fit T-shirt made of an open textured fabric. Round neck and short sleeves.,black,zara
372,WORKOUT T-SHIRT,https://www.zara.com/in/en/workout-t-shirt-p05320450.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/5320/450/250/2/w/448/5320450250_1_1_1.jpg?ts=1688985619667': 'Image 0 of WORKOUT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/5320/450/250/2/w/448/5320450250_2_1_1.jpg?ts=1688985619771': 'Image 1 of WORKOUT T-SHIRT from Zara'}]",2290,T-shirt made of lightweight textured stretch fabric that moves in every direction.- Round neck T-shirt with short sleeves.- Printed logo detail on the hem.Zara Athleticz.View more,white,puma
376,TEXTURED TRAINING T-SHIRT,https://www.zara.com/in/en/textured-training-t-shirt-p01943316.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/1943/316/832/2/w/448/1943316832_1_1_1.jpg?ts=1689863847212': 'Image 0 of TEXTURED TRAINING T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/1943/316/832/2/w/448/1943316832_2_1_1.jpg?ts=1689863847463': 'Image 1 of TEXTURED TRAINING T-SHIRT from Zara'}]",2590,"T-shirt made of a textured technical fabric, lightweight and elastic that moves in every direction.- Round neck T-shirt with short sleeves.- Side slits at the hem.- Printed logo detail on the hem.Zara Athleticz.View more",yellow,nike
380,COMFORT WORKOUT T-SHIRT,https://www.zara.com/in/en/comfort-workout-t-shirt-p02888402.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/2888/402/982/2/w/448/2888402982_1_1_1.jpg?ts=1692362141492': 'Image 0 of COMFORT WORKOUT T-SHIRT from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/2888/402/982/2/w/448/2888402982_2_1_1.jpg?ts=1692362141465': 'Image 1 of COMFORT WORKOUT T-SHIRT from Zara'}]",1890,"T-shirt made of a lightweight and elastic fabric in every direction.- Round neck T-shirt with short sleeves.- Flat seams, more resistant and ideal for movement.- Printed logo detail.Zara Athleticz.View more",green,adidas
385,OVERSIZE T-SHIRT - LIMITED EDITION,https://www.zara.com/in/en/oversize-t-shirt---limited-edition-p00722329.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0722/329/250/2/w/448/0722329250_1_1_1.jpg?ts=1689332813417': 'Image 0 of OVERSIZE T-SHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0722/329/250/2/w/448/0722329250_2_1_1.jpg?ts=1689332811301': 'Image 1 of OVERSIZE T-SHIRT - LIMITED EDITION from Zara'}]",2590,Oversize T-shirt with a round neck and short sleeves falling below the elbow.,white,zara
386,OVERSIZE SWEATSHIRT - LIMITED EDITION,https://www.zara.com/in/en/oversize-sweatshirt---limited-edition-p00761320.html,"[{'https://static.zara.net/photos///2023/I/0/2/p/0761/320/401/2/w/448/0761320401_1_1_1.jpg?ts=1689327625837': 'Image 0 of OVERSIZE SWEATSHIRT - LIMITED EDITION from Zara'}, {'https://static.zara.net/photos///2023/I/0/2/p/0761/320/401/2/w/0/0761320401_2_1_1.jpg?ts=1689327629710': 'Image 1 of OVERSIZE SWEATSHIRT - LIMITED EDITION from Zara'}]",3290,Oversize sweatshirt with a round neckline and short sleeves falling below the elbow.,blue,puma
